,BATHROOM,BOOK,FAMILY,GOOD,HELLO,HELP,NAME,NEED,NO,PLEASE,SORRY,THANK_YOU,WATER,WHERE,WHO,YES
BATHROOM,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
BOOK,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FAMILY,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
GOOD,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
HELLO,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
HELP,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0
NAME,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0
NEED,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
NO,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0
PLEASE,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
SORRY,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
THANK_YOU,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0
WATER,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
WHERE,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
WHO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
YES,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
